epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0794,1.53878,2.68579,2.02656,0.00296,0.88889,0.06764,0.02353,0.92741,3.33596,1.49265,4e-05,4e-05,4e-05
2,51.6815,1.22677,2.61617,1.73253,0.00333,1,0.34635,0.11032,0.64688,3.20212,1.10713,9.802e-05,9.802e-05,9.802e-05
3,80.3012,1.02103,2.55407,1.57294,0.00333,1,0.66553,0.38178,0.55857,3.11744,0.94419,0.000153664,0.000153664,0.000153664
4,102.778,0.65921,2.14652,1.36823,0.00333,1,0.84921,0.63155,0.49649,3.06977,0.84362,0.000206932,0.000206932,0.000206932
5,124.777,0.57089,1.77554,1.28812,0.00333,1,0.82198,0.63782,0.49594,2.90938,0.84887,0.000257824,0.000257824,0.000257824
6,146.867,0.47138,1.58724,1.23251,0.00333,1,0.73777,0.56972,0.68499,3.03206,1.08217,0.00030634,0.00030634,0.00030634
7,168.552,0.42013,1.37726,1.13489,0.00333,1,0.41469,0.09734,1.63991,3.82582,1.78927,0.00035248,0.00035248,0.00035248
8,190.83,0.52683,1.43041,1.21144,0.00333,1,0.12371,0.04353,2.29984,4.29785,2.28543,0.000396244,0.000396244,0.000396244
9,212.772,0.40915,1.06952,1.09001,0.00296,0.88889,0.05475,0.01835,2.75066,4.57692,2.81517,0.000437632,0.000437632,0.000437632
10,236.436,0.385,1.08152,1.11856,0.00296,0.88889,0.08849,0.0352,2.11187,4.25704,2.26629,0.000476644,0.000476644,0.000476644
11,258.788,0.45189,1.16167,1.10943,0.00333,1,0.20917,0.07983,1.61292,3.64402,1.89828,0.00051328,0.00051328,0.00051328
12,281.321,0.62116,1.1838,1.39605,0.22322,1,0.42643,0.27207,0.86498,3.07634,1.2125,0.00054754,0.00054754,0.00054754
13,303.709,0.48585,0.97435,1.27943,0.68304,0.72124,0.74625,0.57955,0.5813,2.64562,0.88309,0.000579424,0.000579424,0.000579424
14,326.404,0.35579,0.84461,1.07856,0.78849,0.88889,0.78415,0.4919,0.76526,2.86991,1.0342,0.000608932,0.000608932,0.000608932
15,349.766,0.52721,1.07507,1.21729,0.40093,0.52259,0.34813,0.18455,1.4109,3.43429,1.58352,0.000636064,0.000636064,0.000636064
16,372.143,0.54377,0.96083,1.18741,0.27285,0.50199,0.25964,0.12556,1.48708,3.46102,1.71273,0.00066082,0.00066082,0.00066082
17,395.014,0.38274,0.83406,1.06193,0.40188,0.55556,0.44353,0.34347,0.9319,2.80247,1.26423,0.0006832,0.0006832,0.0006832
18,417.83,0.54286,0.98334,1.25021,0.7184,0.56837,0.75937,0.50375,0.86538,2.4711,1.22117,0.000703204,0.000703204,0.000703204
19,440.009,0.39284,0.8347,1.15137,0.71977,0.66667,0.66834,0.5294,0.92917,2.37391,1.26492,0.000720832,0.000720832,0.000720832
20,462.486,0.49749,0.87363,1.19309,0.76513,0.77778,0.72001,0.5604,1.1358,2.13708,1.41259,0.000736084,0.000736084,0.000736084
21,485.189,0.33573,0.76579,1.10694,0.96556,0.77778,0.88027,0.55118,1.14271,2.44387,1.33694,0.00074896,0.00074896,0.00074896
22,507.767,0.39682,0.81942,1.08911,0.97764,1,0.995,0.67162,1.04632,2.29373,1.2848,0.00075946,0.00075946,0.00075946
23,531.361,0.4421,0.89816,1.14286,1,0.99015,0.995,0.63263,0.94869,1.88239,1.23453,0.000767584,0.000767584,0.000767584
24,554.393,0.38901,0.84585,1.05102,1,0.87648,0.975,0.47107,1.22924,1.99632,1.65247,0.000773332,0.000773332,0.000773332
25,577.948,0.38898,0.7937,1.1084,0.54307,0.88889,0.70708,0.46596,1.12638,2.15452,1.50402,0.000776704,0.000776704,0.000776704
26,602.167,0.29705,0.77364,1.04045,0.5914,0.77778,0.68421,0.59641,0.95402,2.23643,1.34225,0.0007777,0.0007777,0.0007777
27,624.729,0.31271,0.68044,1.0246,0.65043,0.62336,0.69748,0.55805,0.95277,2.30417,1.31718,0.00077632,0.00077632,0.00077632
28,647.499,0.48451,0.8716,1.19863,0.59908,0.66667,0.64858,0.54004,0.95017,2.24531,1.34916,0.000772564,0.000772564,0.000772564
29,669.769,0.31901,0.70005,1.04807,0.59908,0.66667,0.64858,0.54004,0.95017,2.24531,1.34916,0.000766432,0.000766432,0.000766432
30,693.06,0.38859,0.90237,1.10692,0.62653,1,0.74571,0.50117,0.88755,2.25182,1.17577,0.000757924,0.000757924,0.000757924
31,716.465,0.4204,0.994,1.12511,0.74761,1,0.863,0.60034,0.89696,1.91873,1.27603,0.00074704,0.00074704,0.00074704
32,742.366,0.54425,0.90944,1.22086,0.87261,0.76288,0.83393,0.53297,0.86597,1.87732,1.27899,0.00073378,0.00073378,0.00073378
33,773.549,0.3416,0.75002,1.05578,0.87261,0.76288,0.83393,0.53297,0.86597,1.87732,1.27899,0.000718144,0.000718144,0.000718144
34,798.875,0.26077,0.67418,1.00898,0.68359,0.77778,0.83719,0.43892,0.96592,2.12405,1.30227,0.0006932,0.0006932,0.0006932
35,823.97,0.37215,0.70344,1.0791,0.62693,0.77778,0.598,0.28005,1.55588,2.61856,1.48985,0.0006536,0.0006536,0.0006536
36,848.945,0.36356,0.7812,1.0007,0.70989,0.88889,0.83038,0.33487,1.20718,2.05869,1.14658,0.000614,0.000614,0.000614
37,876.591,0.31246,0.67251,1.04561,0.70989,0.88889,0.83038,0.33487,1.20718,2.05869,1.14658,0.0005744,0.0005744,0.0005744
38,902.18,0.3903,0.86406,1.07751,1,0.90295,0.995,0.66476,0.75741,1.6453,0.89813,0.0005348,0.0005348,0.0005348
39,931.505,0.33115,0.64433,1.0508,0.98747,1,0.995,0.74743,0.56216,1.41649,0.75357,0.0004952,0.0004952,0.0004952
40,958.622,0.34966,0.73495,1.0948,0.98675,1,0.995,0.79268,0.44669,1.23034,0.64938,0.0004556,0.0004556,0.0004556
41,984.348,0.29025,1.77207,1.06495,0.98675,1,0.995,0.79268,0.44669,1.23034,0.64938,0.000416,0.000416,0.000416
42,1009.13,0.20202,1.43113,1.05431,0.89965,1,0.995,0.91795,0.40177,1.3529,0.60193,0.0003764,0.0003764,0.0003764
43,1034.02,0.20067,1.19619,1.04018,0.96823,1,0.995,0.96205,0.35493,1.36388,0.57822,0.0003368,0.0003368,0.0003368
44,1057.09,0.22409,1.04787,1.00169,0.97705,1,0.995,0.93733,0.36724,1.43677,0.58328,0.0002972,0.0002972,0.0002972
45,1080.71,0.12335,0.87622,0.97129,0.97705,1,0.995,0.93733,0.36724,1.43677,0.58328,0.0002576,0.0002576,0.0002576
46,1103.5,0.25563,0.95961,1.10194,0.98539,1,0.995,0.903,0.36615,1.36672,0.57329,0.000218,0.000218,0.000218
47,1127.05,0.15428,0.89319,0.95693,0.98707,1,0.995,0.89475,0.40645,1.25664,0.64505,0.0001784,0.0001784,0.0001784
48,1150.62,0.16114,0.91149,0.98752,0.98668,1,0.995,0.92222,0.38297,1.04075,0.60512,0.0001388,0.0001388,0.0001388
49,1173.94,0.17809,0.89537,0.99047,0.98668,1,0.995,0.92222,0.38297,1.04075,0.60512,9.92e-05,9.92e-05,9.92e-05
50,1197.49,0.11137,0.85108,0.94375,0.98749,1,0.995,0.94009,0.36114,0.95444,0.55971,5.96e-05,5.96e-05,5.96e-05
